Timestamp,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max Max Value
37:36.3,0,0,0,0,0,,0,0,0,,8.711288,9.71852
37:37.3,0,7.72992,8.87184,8.39116,8.6864,,0,8.87184,6.735864,,,
37:38.3,0,8.6498,5.7218,9.48428,9.64044,,0,9.64044,6.699264,,,
37:39.3,0,8.3448,0,8.63028,8.85232,,0,8.85232,5.16548,,,
37:40.3,5.07032,0,8.45948,0,0,,0,8.45948,2.70596,,,
37:41.3,5.55588,7.16628,9.6136,6.9052,0,,0,9.6136,5.848192,,,
37:42.3,0,8.79864,7.92268,8.50828,8.62296,,0,8.79864,6.770512,,,
37:43.3,0,0,0,0,0,,0,0,0,,,
37:44.3,5.42656,4.51644,9.43792,6.21224,0,,0,9.43792,5.118632,,,
37:45.3,6.14148,8.26672,9.42816,9.09388,8.07396,,6.14148,9.42816,8.20084,,,
37:46.3,0,8.89624,0,8.35944,7.89584,,0,8.89624,5.030304,,,
37:47.3,5.1118,0,0,0,0,,0,5.1118,1.02236,,,
37:48.3,5.5632,5.56808,9.43792,8.45216,0,,0,9.43792,5.804272,,,
37:49.3,0,6.61728,0,7.13212,7.39076,,0,7.39076,4.228032,,,
37:50.3,0,0,0,0,0,,0,0,0,,,
37:51.3,5.42412,0,9.5282,0,0,,0,9.5282,2.990464,,,
37:52.3,6.12684,8.90356,9.46232,9.18904,7.51764,,6.12684,9.46232,8.23988,,,
37:53.3,0,0,0,0,0,,0,0,0,,,
37:54.3,5.38996,0,9.39644,0,0,,0,9.39644,2.95728,,,
37:55.3,5.96824,8.77668,9.53796,8.8328,6.588,,5.96824,9.53796,7.940736,,,
37:56.3,6.08048,8.23012,9.56236,8.47412,4.3432,,4.3432,9.56236,7.338056,,,
37:57.3,0,8.81816,0,7.94464,7.76652,,0,8.81816,4.905864,,,
37:58.3,0,0,0,0,0,,0,0,0,,,
37:59.3,6.12928,8.83768,9.47452,9.32812,8.34968,,6.12928,9.47452,8.423856,,,
38:00.3,0,9.2232,9.17196,9.31592,8.76936,,0,9.31592,7.296088,,,
38:01.3,0,0,0,0,0,,0,0,0,,,
38:02.3,0,8.47656,9.17196,8.66444,8.58392,,0,9.17196,6.979376,,,
38:03.3,6.19272,8.14472,9.35984,8.8938,8.43996,,6.19272,9.35984,8.206208,,,
38:04.3,0,0,0,0,0,,0,0,0,,,
38:05.3,5.49488,0,9.53796,0,0,,0,9.53796,3.006568,,,
38:06.3,5.65836,9.31592,9.71852,7.74456,4.514,,4.514,9.71852,7.390272,,,
38:07.3,0,0,0,0,0,,0,0,0,,,
38:08.3,0,0,6.85396,0,0,,0,6.85396,1.370792,,,
38:09.3,6.08536,8.75472,9.11584,9.47452,9.42816,,6.08536,9.47452,8.57172,,,
38:10.3,0,0,0,0,0,,0,0,0,,,
38:11.3,4.40664,0,7.19556,0,0,,0,7.19556,2.32044,,,
38:12.3,5.65836,9.2232,9.2842,9.516,9.50624,,5.65836,9.516,8.6376,,,
38:13.3,0,0,0,0,0,,0,0,0,,,
38:14.3,6.10488,8.15692,9.02068,9.4062,9.33544,,6.10488,9.4062,8.404824,,,
38:15.3,5.07276,7.37368,7.97148,8.59856,8.235,,5.07276,8.59856,7.450296,,,
38:16.3,5.34604,0,8.1984,0,0,,0,8.1984,2.708888,,,
38:17.4,6.21712,8.85476,9.50868,9.16952,8.9426,,6.21712,9.50868,8.538536,,,
38:18.3,0,0,0,0,0,,0,0,0,,,
38:19.3,5.49732,0,9.43792,0,0,,0,9.43792,2.987048,,,
38:20.3,3.78932,9.52088,9.68192,8.6254,7.76652,,3.78932,9.68192,7.876808,,,
38:21.3,0,0,0,0,0,,0,0,0,,,
38:22.3,5.37776,0,9.26224,0,0,,0,9.26224,2.928,,,
38:23.3,6.283,8.13252,9.34032,9.0768,8.12764,,6.283,9.34032,8.192056,,,
38:24.3,0,8.84744,0,8.72056,9.00848,,0,9.00848,5.315296,,,
38:25.3,0,0,0,0,0,,0,0,0,,,
38:26.3,6.14148,9.01092,9.38668,9.44036,9.10364,,6.14148,9.44036,8.616616,,,
38:27.3,0,9.28176,6.93204,9.30372,9.10608,,0,9.30372,6.92472,,,
38:28.3,0,0,0,0,0,,0,0,0,,,
38:29.3,6.1,8.92552,9.37204,9.48184,9.1622,,6.1,9.48184,8.60832,,,
38:30.3,0,7.92756,5.60956,7.99588,6.86616,,0,7.99588,5.679832,,,
38:31.3,0,0,3.60144,0,0,,0,3.60144,0.720288,,,
38:32.3,6.12684,8.82304,9.3696,9.4428,9.2842,,6.12684,9.4428,8.609296,,,
38:33.3,0,8.82304,5.07032,8.76936,8.6986,,0,8.82304,6.272264,,,
38:34.3,0,0,0,0,0,,0,0,0,,,
38:35.3,6.19272,8.5522,9.3696,9.32568,8.98164,,6.19272,9.3696,8.484368,,,
38:36.3,0,9.25004,8.8328,9.00848,8.93284,,0,9.25004,7.204832,,,
38:37.3,0,0,0,0,0,,0,0,0,,,
38:38.3,5.90968,7.75432,9.26468,8.1496,7.50544,,5.90968,9.26468,7.716744,,,
38:39.3,3.90156,9.41596,9.4916,9.5404,9.56236,,3.90156,9.56236,8.382376,,,
38:40.3,0,8.93772,0,8.26428,8.1008,,0,8.93772,5.06056,,,
38:41.3,0,0,0,0,0,,0,0,0,,,
38:42.3,6.16344,8.70592,9.38912,9.19148,8.42776,,6.16344,9.38912,8.375544,,,
38:43.3,0,9.5282,9.25004,9.55992,9.57212,,0,9.57212,7.582056,,,
38:44.3,0,0,0,0,0,,0,0,0,,,
38:45.3,4.86292,8.27404,9.33056,4.95564,0,,0,9.33056,5.484632,,,
38:46.3,0,9.516,9.455,9.52332,9.53308,,0,9.53308,7.60548,,,
38:47.3,0,8.16912,0,5.10692,6.51724,,0,8.16912,3.958656,,,
38:48.3,4.40908,0,0,0,0,,0,4.40908,0.881816,,,
38:49.3,6.11464,9.28908,9.37448,9.4062,9.0158,,6.11464,9.4062,8.64004,,,
38:50.3,0,9.47696,9.07192,8.76204,1.91296,,0,9.47696,5.844776,,,
38:51.3,0,0,0,0,0,,0,0,0,,,
38:52.3,5.36068,0,9.40864,0,0,,0,9.40864,2.953864,,,
38:53.3,5.96336,9.2842,9.49648,9.20856,9.1378,,5.96336,9.49648,8.61808,,,
38:54.3,0,8.46924,0,4.88732,7.7592,,0,8.46924,4.223152,,,
38:55.3,0,0,0,0,0,,0,0,0,,,
38:56.4,6.01216,9.34276,9.56724,9.0768,8.10324,,6.01216,9.56724,8.42044,,,
38:57.3,0,9.62824,9.48428,9.08168,8.58392,,0,9.62824,7.355624,,,
38:58.3,0,0,0,0,0,,0,0,0,,,
38:59.3,3.416,0,9.02068,0,0,,0,9.02068,2.487336,,,
39:00.4,4.35784,9.48428,9.46964,9.50868,9.41352,,4.35784,9.50868,8.446792,,,
39:01.4,0,0,0,6.32204,6.6734,,0,6.6734,2.599088,,,
39:02.3,0,0,0,0,0,,0,0,0,,,
39:03.3,5.81696,9.32812,9.46964,9.39156,9.26712,,5.81696,9.46964,8.65468,,,
39:04.3,0,0,0,0,0,,0,0,0,,,
39:05.3,5.21184,8.54976,9.394,7.68112,2.53516,,2.53516,9.394,6.674376,,,
39:06.4,4.61892,9.30616,9.333,9.54528,9.57944,,4.61892,9.57944,8.47656,,,
39:07.4,0,0,0,0,0,,0,0,0,,,
39:08.3,6.18052,8.74496,9.4062,9.1866,8.97188,,6.18052,9.4062,8.498032,,,
39:09.4,0,9.48428,9.0768,9.39888,9.4794,,0,9.48428,7.487872,,,
39:10.3,0,0,0,0,0,,0,0,0,,,
39:11.3,6.09756,8.82304,9.4306,9.23296,9.089,,6.09756,9.4306,8.534632,,,
39:12.4,0,9.41352,9.44524,9.394,9.48672,,0,9.48672,7.547896,,,
39:13.4,0,0,0,0,0,,0,0,0,,,
39:14.3,5.28504,8.43508,9.48672,5.33628,0,,0,9.48672,5.708624,,,
39:15.3,5.98288,8.68152,9.58432,8.82548,3.74784,,3.74784,9.58432,7.364408,,,
39:16.4,0,0,0,0,0,,0,0,0,,,
39:17.4,3.35012,0,7.17116,0,0,,0,7.17116,2.104256,,,
39:18.4,6.21712,9.10852,9.45988,9.38912,8.8206,,6.21712,9.45988,8.599048,,,
39:19.3,5.83648,9.08168,9.43792,9.06704,7.93976,,5.83648,9.43792,8.272576,,,
39:20.4,0,0,0,0,0,,0,0,0,,,
39:21.4,6.0024,8.76448,9.48428,8.77668,5.09472,,5.09472,9.48428,7.624512,,,
39:22.4,5.9658,9.40376,9.64044,9.11828,7.99588,,5.9658,9.64044,8.424832,,,
39:23.4,0,0,0,0,0,,0,0,0,,,
39:24.4,5.89016,8.70836,9.44768,8.71568,3.98452,,3.98452,9.44768,7.34928,,,
39:25.4,4.91904,9.4062,9.48672,9.4672,9.30372,,4.91904,9.48672,8.516576,,,
39:26.4,0,0,0,0,0,,0,0,0,,,
39:27.4,6.13904,8.5644,9.45012,8.70104,7.94464,,6.13904,9.45012,8.159848,,,
39:28.4,6.13904,8.07884,9.03776,9.03288,8.94504,,6.13904,9.03776,8.246712,,,
39:29.4,0,0,0,0,0,,0,0,0,,,
39:30.4,5.98288,8.5522,9.47452,8.38628,4.2212,,4.2212,9.47452,7.323416,,,
39:31.4,0,9.56236,9.5648,9.36716,9.2476,,0,9.5648,7.548384,,,
39:32.4,0,0,0,0,0,,0,0,0,,,
39:33.4,5.49976,0,9.39644,0,0,,0,9.39644,2.97924,,,
39:34.4,6.18052,9.26712,9.58432,8.8572,8.70592,,6.18052,9.58432,8.519016,,,
39:35.5,0,9.4428,8.81328,8.95968,9.38424,,0,9.4428,7.32,,,
39:36.4,0,0,0,0,0,,0,0,0,,,
39:37.4,6.09024,8.70348,9.44036,8.36676,8.00076,,6.09024,9.44036,8.12032,,,
39:38.4,0,9.6014,9.66484,9.22564,9.36228,,0,9.66484,7.570832,,,
39:39.4,0,0,0,0,0,,0,0,0,,,
39:40.4,4.7092,0,9.07192,0,0,,0,9.07192,2.756224,,,
39:41.4,6.0878,9.21832,9.60628,9.02068,6.4294,,6.0878,9.60628,8.072496,,,
39:42.4,0,9.36716,9.47696,8.98408,7.89828,,0,9.47696,7.145296,,,
39:43.4,0,0,0,0,0,,0,0,0,,,
39:44.4,4.79704,9.21832,9.3818,9.18416,8.89868,,4.79704,9.3818,8.296,,,
39:45.4,6.1976,8.96212,9.64044,9.0158,7.8446,,6.1976,9.64044,8.332112,,,
39:46.4,0,9.3452,9.10852,9.09632,9.05972,,0,9.3452,7.321952,,,
39:47.4,0,0,0,0,0,,0,0,0,,,
39:48.4,6.14148,9.21832,9.57456,8.94504,8.20084,,6.14148,9.57456,8.416048,,,
39:49.4,0,9.64776,9.42816,9.48428,9.65264,,0,9.65264,7.642568,,,
39:50.4,0,0,0,0,0,,0,0,0,,,
39:51.4,5.8438,8.74496,9.50624,8.44484,3.31596,,3.31596,9.50624,7.17116,,,
39:52.4,6.0634,9.31592,9.4672,9.4062,9.11096,,6.0634,9.4672,8.672736,,,
39:53.5,0,0,0,0,0,,0,0,0,,,
39:54.4,5.89504,8.4546,9.33056,8.55464,6.30008,,5.89504,9.33056,7.706984,,,
39:55.4,5.88528,9.31348,9.54772,9.41108,9.39888,,5.88528,9.54772,8.711288,,,
39:56.4,0,0,0,0,0,,0,0,0,,,
39:57.4,5.86576,8.79132,9.42816,8.76692,5.36312,,5.36312,9.42816,7.643056,,,
39:58.4,3.63072,9.55748,9.68436,9.32324,8.8938,,3.63072,9.68436,8.21792,,,
39:59.4,0,0,0,0,0,,0,0,0,,,
40:00.4,5.52416,8.65712,9.5282,8.03492,0,,0,9.5282,6.34888,,,
40:01.4,0,9.48916,9.44524,9.49892,9.36716,,0,9.49892,7.560096,,,
40:02.4,0,0,0,0,0,,0,0,0,,,
40:03.4,5.5876,9.02556,9.63068,7.65672,0,,0,9.63068,6.380112,,,
