Timestamp,,Sensor_Values1,,,,,,Max,Min,Mean,,Max Mean,Max Max
34:12.2,,5.95604,9.1622,9.43792,9.42816,8.4058,,9.43792,5.95604,8.478024,,8.662976,9.79904
34:13.2,,0,0,0,0,0,,0,0,0,,,
34:14.2,,5.95604,9.11584,9.55748,9.37936,7.49812,,9.55748,5.95604,8.301368,,,
34:15.2,,0,0,0,0,0,,0,0,0,,,
34:16.2,,5.79744,8.88404,9.57944,9.19636,4.45056,,9.57944,4.45056,7.581568,,,
34:17.2,,3.4282,9.54528,9.48428,9.28664,8.39848,,9.54528,3.4282,8.028576,,,
34:18.2,,0,0,0,0,0,,0,0,0,,,
34:19.2,,5.95848,9.27688,9.61116,9.3574,6.82956,,9.61116,5.95848,8.206696,,,
34:20.3,,0,0,0,0,0,,0,0,0,,,
34:21.2,,5.34848,8.96944,9.577,8.87184,0,,9.577,0,6.553352,,,
34:22.2,,0,9.52332,8.32528,9.29152,8.6986,,9.52332,0,7.167744,,,
34:23.2,,0,0,0,0,0,,0,0,0,,,
34:24.2,,5.44852,9.12804,9.65508,9.21832,0,,9.65508,0,6.689992,,,
34:25.2,,0,0,0,0,0,,0,0,0,,,
34:26.3,,6.03168,8.87184,9.48428,9.42816,7.32976,,9.48428,6.03168,8.229144,,,
34:27.2,,0,0,0,0,0,,0,0,0,,,
34:28.3,,5.89016,9.0158,9.5892,9.33544,5.21184,,9.5892,5.21184,7.808488,,,
34:29.2,,0,4.88244,0,6.32936,5.50464,,6.32936,0,3.343288,,,
34:30.2,,0,0,0,0,0,,0,0,0,,,
34:31.2,,6.07316,9.3208,9.56236,9.3574,7.99832,,9.56236,6.07316,8.462408,,,
34:32.2,,0,0,0,0,0,,0,0,0,,,
34:33.2,,5.64128,8.85964,9.56236,9.2476,0,,9.56236,0,6.662176,,,
34:34.2,,0,0,0,0,0,,0,0,0,,,
34:35.2,,5.429,8.85476,9.638,9.11828,0,,9.638,0,6.608008,,,
34:36.3,,0,0,0,0,0,,0,0,0,,,
34:37.3,,5.41924,7.869,9.46964,7.01744,0,,9.46964,0,5.955064,,,
34:38.2,,0,9.51844,9.40132,9.32812,8.4668,,9.51844,0,7.342936,,,
34:39.3,,0,0,0,0,0,,0,0,0,,,
34:40.3,,6.05608,9.19636,9.53064,9.4794,8.25696,,9.53064,6.05608,8.503888,,,
34:41.2,,0,0,0,0,0,,0,0,0,,,
34:42.3,,5.18256,0,9.211,0,0,,9.211,0,2.878712,,,
34:43.2,,5.79012,9.59652,9.63556,9.52332,8.75472,,9.63556,5.79012,8.660048,,,
34:44.2,,0,0,0,0,0,,0,0,0,,,
34:45.3,,5.88772,9.15732,9.67216,9.4062,5.5632,,9.67216,5.5632,7.93732,,,
34:46.2,,0,0,0,0,0.97844,,0.97844,0,0.195688,,,
34:47.3,,4.93856,8.86696,9.35008,8.47656,0,,9.35008,0,6.326432,,,
34:48.3,,6.03656,9.59896,9.55504,9.37448,8.64736,,9.59896,6.03656,8.64248,,,
34:49.3,,0,0,0,0,0,,0,0,0,,,
34:50.3,,5.81452,9.40376,9.64044,9.4062,5.58272,,9.64044,5.58272,7.969528,,,
34:51.3,,0,0,0,0,0,,0,0,0,,,
34:52.3,,0,0,6.92472,0,0,,6.92472,0,1.384944,,,
34:53.3,,5.78036,9.2354,9.6136,9.2232,2.9524,,9.6136,2.9524,7.360992,,,
34:54.3,,0,0,0,0,0,,0,0,0,,,
34:55.3,,6.04876,9.20368,9.59408,9.43304,7.12968,,9.59408,6.04876,8.281848,,,
34:56.3,,0,0,0,0,0,,0,0,0,,,
34:57.3,,5.95116,9.18416,9.64532,9.37448,6.53188,,9.64532,5.95116,8.1374,,,
34:58.3,,0,0,0,0,0,,0,0,0,,,
34:59.3,,5.21916,0,9.45012,0,0,,9.45012,0,2.933856,,,
35:00.3,,0,9.09144,9.13048,8.78888,0,,9.13048,0,5.40216,,,
35:01.3,,0,0,0,0,0,,0,0,0,,,
35:02.3,,5.58516,8.08616,9.59652,8.31308,0,,9.59652,0,6.316184,,,
35:03.3,,0,0,0,0,0,,0,0,0,,,
35:04.3,,5.98776,9.34032,9.65264,9.4062,6.13172,,9.65264,5.98776,8.103728,,,
35:05.3,,0,0,0,0,0,,0,0,0,,,
35:06.3,,5.50952,8.6132,9.7112,8.35944,0,,9.7112,0,6.438672,,,
35:07.3,,0,0,0,0,0,,0,0,0,,,
35:08.3,,5.5266,7.76896,9.70876,4.85316,0,,9.70876,0,5.571496,,,
35:09.3,,0,0,0,0,0,,0,0,0,,,
35:10.3,,5.43876,9.41352,9.79416,8.662,0,,9.79416,0,6.661688,,,
35:11.3,,0,0,4.331,0,0,,4.331,0,0.8662,,,
35:12.3,,5.19476,9.59652,9.79904,9.04752,0,,9.79904,0,6.727568,,,
35:13.3,,0,0,0,0,0,,0,0,0,,,
35:14.3,,5.96336,9.30616,9.68436,9.33788,5.59004,,9.68436,5.59004,7.97636,,,
35:15.3,,0,0,0,0,0,,0,0,0,,,
35:16.3,,5.87064,9.3452,9.64044,9.3696,4.514,,9.64044,4.514,7.747976,,,
35:17.3,,0,0,0,0,0,,0,0,0,,,
35:18.3,,4.88244,0,8.54244,0,0,,8.54244,0,2.684976,,,
35:19.3,,6.11952,9.39156,9.57456,9.43548,8.58392,,9.57456,6.11952,8.621008,,,
35:20.3,,0,0,0,0,0,,0,0,0,,,
35:21.3,,5.92676,9.51112,9.4428,9.50136,8.90844,,9.51112,5.92676,8.658096,,,
35:22.3,,0,0,0,0,0,,0,0,0,,,
35:23.3,,5.5144,8.98164,9.69168,9.01824,0,,9.69168,0,6.641192,,,
35:24.3,,0,0,0,0,0,,0,0,0,,,
35:25.3,,5.93164,9.05728,9.56968,9.31348,5.48024,,9.56968,5.48024,7.870464,,,
35:26.3,,0,0,0,3.26228,0,,3.26228,0,0.652456,,,
35:27.3,,0,0,0,0,0,,0,0,0,,,
35:28.3,,6.03168,9.53552,9.66484,9.32812,7.14188,,9.66484,6.03168,8.340408,,,
35:29.4,,0,0,0,0,0,,0,0,0,,,
35:30.3,,5.54612,9.10608,9.66484,9.30372,0,,9.66484,0,6.724152,,,
35:31.3,,0,0,0,0,0,,0,0,0,,,
35:32.3,,5.9658,9.54528,9.34276,9.64044,8.77912,,9.64044,5.9658,8.65468,,,
35:33.3,,0,8.37896,0,8.70348,5.4412,,8.70348,0,4.504728,,,
35:34.3,,0,0,0,0,0,,0,0,0,,,
35:35.3,,5.97068,8.75472,9.48428,9.25004,4.13824,,9.48428,4.13824,7.519592,,,
35:36.3,,0,0,0,0,0,,0,0,0,,,
35:37.3,,5.92188,9.211,9.63312,9.32812,4.31636,,9.63312,4.31636,7.682096,,,
35:38.3,,0,0,0,0,0,,0,0,0,,,
35:39.3,,4.83852,0,8.34724,0,0,,8.34724,0,2.637152,,,
35:40.3,,6.02192,9.59896,9.6014,9.51112,8.58148,,9.6014,6.02192,8.662976,,,
35:41.3,,0,0,0,0,0,,0,0,0,,,
35:42.3,,5.5388,9.26224,9.69168,9.25004,0,,9.69168,0,6.748552,,,
35:43.3,,0,0,0,0,0,,0,0,0,,,
35:44.3,,5.29968,8.60832,9.4672,8.42044,0,,9.4672,0,6.359128,,,
35:45.3,,0,3.68196,0,7.18092,3.27936,,7.18092,0,2.828448,,,
35:46.3,,0,0,0,0,0,,0,0,0,,,
35:47.3,,6.03168,9.34276,9.64044,9.4306,6.46356,,9.64044,6.03168,8.181808,,,
35:48.3,,0,0,0,0,0,,0,0,0,,,
35:49.3,,3.94304,8.88404,9.28176,9.04752,5.14352,,9.28176,3.94304,7.259976,,,
35:50.3,,5.65104,9.52332,9.4428,9.48428,8.60832,,9.52332,5.65104,8.541952,,,
35:51.3,,0,0,0,0,0,,0,0,0,,,
35:52.3,,6.16588,8.92796,9.52088,9.40132,7.93488,,9.52088,6.16588,8.390184,,,
35:53.3,,0,0,0,0,0,,0,0,0,,,
,,,,,,,,,,,,,
,,Sensor_Values2,,,,,,,,,,,
