Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,,,Sensor1-R,Sensor2-R,Sensor3-R,Sensor4-R,Sensor5-R
23:05.5,3.38672,3.68684,0.31232,9.9918,9.9918,,,2.39364,9.9918,2.40096,2.25944,9.9918
23:06.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.45384,9.9918,0.66368,9.9918
23:07.5,9.9918,0.48068,9.9918,0.32696,0.82716,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:08.5,9.9918,1.60308,0.32452,1.21756,9.9918,,,0.4514,0.4148,3.4038,0.41236,9.9918
23:09.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:10.5,9.9918,1.39812,0.50752,1.18828,9.9918,,,0.44164,0.70272,2.44732,0.70516,9.9918
23:11.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,3.94304,9.9918,3.9406,9.9918
23:12.5,9.9918,1.94712,0.60756,0.77348,3.12076,,,0.43676,2.96704,0.57096,0.2318,9.9918
23:13.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:14.5,9.9918,1.22488,0.59536,0.65148,2.16428,,,0.43188,2.23748,0.50996,2.24968,9.9918
23:15.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,1.07116,9.9918,1.07116,9.9918
23:16.5,9.9918,0.3904,0.48312,0.67832,5.93896,,,0.46116,1.1834,0.90768,0.915,9.9918
23:17.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,1.5982,9.9918,1.60064,9.9918
23:18.5,9.9918,0.46848,0.53924,0.5856,4.93124,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:19.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.91256,9.9918,0.91988,9.9918
23:20.5,9.9918,0.42944,0.55388,0.61732,5.09716,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:21.5,9.9918,9.9918,0.58316,9.9918,9.9918,,,3.3184,0.60024,3.49652,0.5978,9.9918
23:22.5,9.9918,9.9918,9.9918,5.5266,3.35744,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:23.5,9.9918,2.17892,0.50752,1.91296,9.9918,,,0.44652,0.88084,0.59048,0.87596,9.9918
23:24.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,1.26636,9.9918,1.26636,9.9918
23:25.5,9.9918,1.16388,0.69784,0.50996,1.82756,,,0.65636,5.84136,1.50548,5.88528,9.9918
23:26.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.73444,9.9918,0.74176,9.9918
23:27.5,9.9918,0.9394,0.75884,0.88572,6.38792,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:28.5,9.9918,2.73524,0.4514,9.9918,9.9918,,,0.4392,0.82472,2.196,0.81984,9.9918
23:29.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.90036,9.9918,0.89792,9.9918
23:30.5,9.9918,2.135,0.56608,1.66896,3.39648,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:31.5,9.9918,9.9918,0.67832,8.18864,9.9918,,,6.35132,0.42944,6.4416,0.42944,9.9918
23:32.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:33.5,9.9918,1.23952,0.61244,0.85888,2.1594,,,0.45384,1.1956,0.6954,1.20048,9.9918
23:34.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.74176,9.9918,0.74176,9.9918
23:35.5,9.9918,0.75396,0.83204,0.47336,0.97112,,,0.4514,1.24196,0.37576,1.22488,9.9918
23:36.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.80276,4.2822,0.8052,9.9918
23:37.5,9.9918,0.99064,1.16632,0.45384,1.08092,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:38.5,9.9918,9.9918,0.54656,9.9918,9.9918,,,3.24032,0.46848,4.76532,0.47824,9.9918
23:39.5,9.9918,0.83448,9.9918,0.47824,0.915,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:40.5,9.9918,4.33588,0.63684,4.15288,9.9918,,,9.9918,0.38796,9.9918,0.38552,9.9918
23:41.5,9.9918,3.28668,9.9918,0.83204,1.32736,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:42.5,9.9918,6.3562,0.49044,9.9918,9.9918,,,0.50264,0.68076,4.10164,0.68076,9.9918
23:43.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:44.5,9.9918,2.08132,0.44652,1.82024,9.9918,,,0.4514,0.976,1.90808,0.97844,9.9918
23:45.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.9272,4.24804,0.92476,9.9918
23:46.5,9.9918,9.9918,2.34484,1.77144,4.33344,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:47.5,9.9918,1.58356,0.40504,1.28832,9.9918,,,9.9918,1.10532,9.9918,1.09556,9.9918
23:48.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,4.97516,9.9918,4.96296,9.9918
23:49.5,9.9918,5.33872,0.43676,1.10044,4.23096,,,0.427,1.44936,0.66124,1.45424,9.9918
23:50.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,0.90524,9.9918,0.91012,9.9918
23:51.5,9.9918,0.84912,0.76616,0.47336,1.21024,,,0.42944,0.89304,0.71736,0.89548,9.9918
23:52.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,4.97516,9.9918,4.91904,9.9918
23:53.5,9.9918,1.05896,0.46848,0.72956,3.71124,,,1.23464,0.62708,2.74744,0.62464,9.9918
23:54.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
23:55.5,9.9918,0.9882,0.37576,1.60064,9.9918,,,0.42212,0.97356,0.7198,0.9638,9.9918
23:56.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,3.9528,9.9918,3.95524,9.9918
23:57.5,9.9918,1.3542,0.46848,1.62748,9.9918,,,0.42456,1.44936,0.74176,1.45668,9.9918
23:58.5,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,1.15412,9.9918,1.15412,9.9918
23:59.6,9.9918,1.05408,0.91012,0.48312,0.8784,,,9.9918,9.9918,9.9918,9.9918,9.9918
24:00.5,9.9918,9.9918,0.8418,9.9918,9.9918,,,9.9918,0.7686,9.9918,0.77592,9.9918
24:01.5,9.9918,1.53964,0.80276,1.07116,7.16872,,,9.9918,9.9918,9.9918,9.9918,9.9918
24:02.5,9.9918,5.89748,0.61732,9.9918,9.9918,,,9.9918,1.76412,3.99672,1.75924,9.9918
